Year,Day,Time,Elephant,Buffalo,Eland,Zebra,Waterbuck,Kudu,Impala,Nyala,Bushbuck,Wild dog,Lion,Leopard,Hyena,Jackal,Warthog,Baboon
1995,Saturday,am,155,381,179,460,234,66,3005,0,3,10,4,0,30,12,154,831
1995,Saturday,pm,211,634,209,416,248,105,2345,0,2,0,4,0,5,4,190,455
1995,Sunday,am,159,465,136,426,238,62,2376,0,3,30,3,0,14,6,112,500
1995,Sunday,pm,173,304,171,581,242,140,2131,0,2,0,7,0,3,2,138,397
1996,Saturday,am,210,376,173,273,350,54,4099,0,0,21,1,0,2,0,87,
1996,Saturday,pm,251,330,167,259,305,51,3443,0,5,20,0,1,1,3,82,
1996,Sunday,am,163,431,254,240,404,23,3686,0,1,21,0,0,3,0,78,
1996,Sunday,pm,327,443,233,231,336,47,2893,0,1,22,0,1,1,1,81,
1997,Saturday,am,83,516,260,226,393,55,3480,0,0,0,0,0,12,1,117,851
1997,Saturday,pm,220,639,176,241,354,70,3455,0,2,0,0,0,0,2,123,824
1997,Sunday,am,126,485,231,216,320,30,3313,0,1,0,1,0,2,1,116,680
1997,Sunday,pm,133,398,249,224,317,51,3198,0,2,0,1,0,0,0,98,537
1998,Saturday,am,151,1133,168,222,425,36,4879,0,1,0,7,0,13,0,157,1723
1998,Saturday,pm,161,427,208,434,262,77,3091,0,0,0,7,0,3,1,145,1197
1998,Sunday,am,157,1214,285,326,286,59,4705,0,1,0,13,0,6,2,147,1411
1998,Sunday,pm,118,775,244,375,287,48,3765,0,0,0,5,0,2,1,134,1254
1999,Saturday,am,179,672,259,348,337,46,3567,0,3,0,2,1,0,0,115,1033
1999,Saturday,pm,197,523,303,343,324,38,3400,0,0,0,0,0,0,2,133,1154
1999,Sunday,am,162,663,266,380,405,18,3712,0,0,0,0,0,2,1,94,1028
1999,Sunday,pm,284,220,247,394,368,25,3064,0,0,0,0,0,1,0,143,947
2000,Saturday,am,184,1463,370,374,441,102,3797,0,1,0,0,1,1,3,177,1164
2000,Saturday,pm,163,1367,287,470,537,95,3268,0,0,0,2,0,2,2,192,790
2000,Sunday,am,200,1027,230,345,398,73,3760,0,0,0,0,0,2,2,173,918
2000,Sunday,pm,223,1032,239,421,350,95,3335,0,0,0,4,0,1,0,123,952
2001,Saturday,am,154,1322,238,235,458,18,3504,0,1,18,0,0,2,1,146,1418
2001,Saturday,pm,129,549,174,389,441,31,2976,0,1,0,0,0,0,2,118,876
2001,Sunday,am,167,386,308,202,410,13,3305,0,0,24,1,1,1,2,136,1329
2001,Sunday,pm,199,533,310,319,359,44,2779,0,0,6,8,1,1,3,83,819
2002,Saturday,am,169,456,319,287,286,98,4440,0,0,14,0,1,3,2,258,1188
2002,Saturday,pm,208,359,353,203,427,85,4697,0,2,0,0,0,0,1,227,1101
2002,Sunday,am,95,224,243,213,539,67,5248,0,2,13,1,0,4,2,220,1209
2002,Sunday,pm,167,371,337,368,332,52,3612,0,0,15,0,0,6,0,200,1063
2003,Saturday,am,116,347,198,243,414,32,2932,0,0,44,5,0,3,2,119,813
2003,Saturday,pm,117,618,292,254,333,60,2604,0,0,0,0,0,0,1,141,757
2003,Sunday,am,108,735,327,170,477,5,3670,0,0,0,15,0,0,1,102,1204
2003,Sunday,pm,173,610,245,229,480,36,3402,0,2,0,5,1,0,0,160,876
2004,Saturday,am,138,673,179,171,390,88,3529,0,0,19,6,1,7,4,142,946
2004,Saturday,pm,113,878,254,257,354,52,2985,1,0,19,6,1,3,0,153,924
2004,Sunday,am,164,1379,307,99,504,37,3769,0,0,20,2,0,0,1,143,1101
2004,Sunday,pm,122,821,245,284,478,92,2774,0,0,21,4,1,1,0,181,888
2005,Saturday,am,170,550,284,266,589,113,5342,0,2,0,8,1,9,2,199,1330
2005,Saturday,pm,192,302,282,294,311,175,3775,1,2,0,7,0,2,2,232,968
2005,Sunday,am,194,368,314,292,526,128,4406,0,1,6,4,0,11,4,228,1319
2005,Sunday,pm,237,237,290,337,442,84,3982,0,1,0,7,0,5,6,286,1164
2006,Saturday,am,226,470,179,225,343,65,4607,0,0,0,2,1,6,0,81,1048
2006,Saturday,pm,247,736,312,275,290,104,3895,0,0,1,3,0,0,0,96,974
2006,Sunday,am,212,633,281,207,314,27,4046,0,1,1,0,0,5,2,75,1036
2006,Sunday,pm,281,396,203,290,337,37,3674,0,0,0,2,0,1,0,112,1057
2007,Saturday,am,257,668,333,305,364,106,5766,3,1,2,6,3,14,1,155,1384
2007,Saturday,pm,274,375,281,393,339,69,4959,0,0,2,6,3,12,2,148,1656
2007,Sunday,am,207,637,320,325,361,91,5898,0,0,0,1,0,8,0,113,1214
2007,Sunday,pm,255,563,322,431,232,53,4079,0,0,0,2,0,1,1,169,1250
2008,Saturday,am,251,725,254,251,485,91,4946,0,2,0,1,1,2,2,116,1302
2008,Saturday,pm,302,964,277,225,577,67,3759,0,0,0,0,0,0,0,143,1004
2008,Sunday,am,250,670,324,281,634,56,5290,0,0,0,6,0,2,2,117,1347
2008,Sunday,pm,292,559,286,301,544,69,4216,0,0,0,2,0,2,5,131,1158
2009,Saturday,am,233,46,238,140,368,49,4732,0,2,0,8,0,8,0,105,1133
2009,Saturday,pm,328,273,196,111,433,35,4069,0,1,0,6,1,0,0,118,1203
2009,Sunday,am,238,244,216,140,389,53,4776,0,1,0,21,0,7,5,98,1453
2009,Sunday,pm,288,73,235,98,417,38,4186,0,2,6,0,0,0,0,104,1399
2010,Saturday,am,498,771,280,93,501,64,4821,0,1,10,12,1,1,1,120,917
2010,Saturday,pm,276,367,141,134,398,133,4798,0,2,10,2,1,0,3,145,963
2010,Sunday,am,412,454,222,150,411,87,4826,1,0,0,0,1,1,1,84,1153
2010,Sunday,pm,344,489,215,119,369,118,4469,0,1,0,7,0,0,2,119,926
2011,Saturday,am,210,669,168,289,395,95,5332,0,0,0,14,0,2,0,152,1311
2011,Saturday,pm,298,210,206,243,303,151,5583,0,0,0,6,0,0,0,260,1010
2011,Sunday,am,208,319,163,151,414,95,6562,0,0,0,13,0,16,0,144,1500
2011,Sunday,pm,353,416,210,205,323,110,5388,0,1,0,2,0,,3,279,1110
2012,Sat,am,229,50,231,199,447,123,6852,0,7,26,8,0,3,0,181,1343
2012,Sat,pm,237,316,159,182,263,90,5309,0,2,22,8,0,3,1,206,1285
2012,Sun,am,253,146,180,150,359,65,6151,5,12,28,18,0,6,1,181,1419
2012,Sun,pm,271,184,186,226,318,122,4938,4,5,23,6,0,0,0,203,1215
2013,Saturday,am,254,111,162,220,328,62,6960,0,0,0,34,1,6,4,132,1052
2013,Saturday,pm,247,43,116,212,247,97,5467,0,2,0,13,0,2,0,134,1269
2013,Sunday,am,238,326,193,169,325,109,7302,0,1,0,14,1,27,1,100,1140
2013,Sunday,pm,208,101,150,189,248,77,5413,6,0,0,14,0,6,1,149,1140
2014,Saturday,am,327,834,95,186,255,110,6364,0,1,0,15,0,,7,129,1108
2014,Saturday,pm,309,459,186,175,265,75,5349,0,0,0,0,0,,1,125,931
2014,Sunday,am,377,119,108,164,234,112,6192,0,0,0,16,1,,4,129,916
2014,Sunday,pm,292,135,135,278,290,83,5370,0,1,0,3,1,,1,161,1152
